task_a,task_b,pair,text_cosine_distance,behavior_cosine_distance,text_distance_percentile,behavior_distance_percentile,text_close_behavior_far,behavior_close_text_far
Balloon Analogue Risk Task (BART),route learning,Balloon Analogue Risk T... <-> route learning,0.6555256867010739,0.3166931362872263,0.7272727272727273,0.8890063424947146,0.16173361522198726,-0.16173361522198726
Two-Armed Bandit,exp7,Two-Armed Bandit <-> exp7,0.5625230582557934,0.21547709724523523,0.4069767441860465,0.5676532769556025,0.160676532769556,-0.160676532769556
Weather Prediction Task (Cards),intertemporal choice,Weather Prediction Task... <-> intertemporal choice,0.5495076277242164,0.2050082872817799,0.35306553911205074,0.5126849894291755,0.15961945031712477,-0.15961945031712477
Fixed-Set Intertemporal Choice,associative recognition,Fixed-Set Intertemporal... <-> associative recognition,0.6833920522787283,0.4744387563736807,0.8044397463002114,0.9630021141649049,0.15856236786469347,-0.15856236786469347
Route Learning / Decision-Point Navigation,balloon analogue risk task,Route Learning / Decisi... <-> balloon analogue risk t...,0.6532559539090859,0.3123284311534589,0.7219873150105708,0.8805496828752643,0.15856236786469347,-0.15856236786469347
associative recognition,choice task,associative recognition <-> choice task,0.6777511629470281,0.457510470726492,0.7875264270613108,0.9460887949260042,0.15856236786469335,-0.15856236786469335
Associative Recognition (Intact vs Rearranged),intertemporal choice,Associative Recognition... <-> intertemporal choice,0.6819822463529022,0.47275451357477727,0.8002114164904862,0.9577167019027484,0.15750528541226216,-0.15750528541226216
route learning,two-armed bandit task,route learning <-> two-armed bandit task,0.5633253093322174,0.21557448892306852,0.41226215644820297,0.5697674418604651,0.15750528541226216,-0.15750528541226216
Recent Probes,Unidimensional Threshold Rule,Recent Probes <-> Unidimensional Threshol...,0.585808519847989,0.23042217743448923,0.5052854122621564,0.6617336152219874,0.15644820295983097,-0.15644820295983097
Four-Armed Bandit,columbia card task,Four-Armed Bandit <-> columbia card task,0.5521372500697957,0.20816677863093047,0.3657505285412262,0.5221987315010571,0.15644820295983092,-0.15644820295983092
choice task,exp0,choice task <-> exp0,0.5723940897604881,0.22165552437974712,0.4492600422832981,0.6057082452431289,0.15644820295983086,-0.15644820295983086
Verbal Digit/Letter WM,exp5,Verbal Digit/Letter WM <-> exp5,0.5297144897086465,0.19049301410573094,0.28118393234672306,0.4376321353065539,0.15644820295983086,-0.15644820295983086
associative recognition,four-armed bandit task,associative recognition <-> four-armed bandit task,0.6776034661028443,0.4500798772900786,0.7864693446088795,0.9418604651162791,0.15539112050739956,-0.15539112050739956
Route Learning / Decision-Point Navigation,digit span,Route Learning / Decisi... <-> digit span,0.5670544573842272,0.21771300648870784,0.4281183932346723,0.5835095137420718,0.1553911205073995,-0.1553911205073995
go/no-go task,two-step task,go/no-go task <-> two-step task,0.5747574794175987,0.22254275344518692,0.45560253699788583,0.6088794926004228,0.153276955602537,-0.153276955602537
Route Learning / Decision-Point Navigation,Verbal Digit/Letter WM,Route Learning / Decisi... <-> Verbal Digit/Letter WM,0.5706325993825269,0.22007968668701416,0.4439746300211416,0.5972515856236786,0.153276955602537,-0.153276955602537
associative recognition,exp,associative recognition <-> exp,0.6767300975582808,0.4383722914765277,0.7832980972515856,0.9355179704016914,0.15221987315010577,-0.15221987315010577
Balloon Analogue Risk Task (BART),Route Learning / Decision-Point Navigation,Balloon Analogue Risk T... <-> Route Learning / Decisi...,0.6586425697560246,0.31582631178205645,0.7367864693446089,0.8879492600422833,0.15116279069767435,-0.15116279069767435
Two-Step Task (Daw),balloon analogue risk task,Two-Step Task (Daw) <-> balloon analogue risk t...,0.648321270162963,0.3027116847101846,0.7061310782241015,0.8562367864693446,0.15010570824524316,-0.15010570824524316
Multi-Step Sequential RL (3+ states),exp4,Multi-Step Sequential R... <-> exp4,0.4243898712201395,0.15844307655357281,0.09725158562367865,0.24735729386892177,0.1501057082452431,-0.1501057082452431
Recent Probes,exp1,Recent Probes <-> exp1,0.5789692530844145,0.2246920864271975,0.4725158562367865,0.6226215644820295,0.15010570824524305,-0.15010570824524305
Associative Recognition (Intact vs Rearranged),Fixed-Set Intertemporal Choice,Associative Recognition... <-> Fixed-Set Intertemporal...,0.6855271140879513,0.47327488969457143,0.8107822410147991,0.959830866807611,0.14904862579281186,-0.14904862579281186
Fixed-Set Intertemporal Choice,exp7,Fixed-Set Intertemporal... <-> exp7,0.614433270869297,0.2538149201082891,0.6014799154334038,0.7505285412262156,0.14904862579281175,-0.14904862579281175
balloon analogue risk task,choice task,balloon analogue risk t... <-> choice task,0.6108088018418988,0.25133979042266885,0.5919661733615222,0.741014799154334,0.14904862579281175,-0.14904862579281175
Balloon Analogue Risk Task (BART),two-step task,Balloon Analogue Risk T... <-> two-step task,0.660547367764149,0.31726164652492783,0.7431289640591966,0.8900634249471459,0.14693446088794926,-0.14693446088794926
contextual bandit task,route learning,contextual bandit task <-> route learning,0.4869742516616752,0.17084593397316583,0.17019027484143764,0.3150105708245243,0.14482029598308668,-0.14482029598308668
gambling task,multi-step sequential decision task,gambling task <-> multi-step sequential d...,0.46084731791492506,0.16401414428792782,0.1331923890063425,0.27801268498942916,0.14482029598308666,-0.14482029598308666
Fixed-Set Intertemporal Choice,exp0,Fixed-Set Intertemporal... <-> exp0,0.5900363149458108,0.23095876087231504,0.5221987315010571,0.6659619450317125,0.14376321353065535,-0.14376321353065535
Contextual Bandit,route learning,Contextual Bandit <-> route learning,0.4945545436910517,0.17283037528444833,0.18921775898520085,0.3287526427061311,0.13953488372093023,-0.13953488372093023
Columbia Card Task (CCT),four-armed bandit task,Columbia Card Task (CCT) <-> four-armed bandit task,0.5632533988341971,0.21297448934877494,0.41120507399577166,0.5496828752642706,0.13847780126849896,-0.13847780126849896
Associative Recognition (Intact vs Rearranged),choice task,Associative Recognition... <-> choice task,0.6845782304857297,0.45827881608144205,0.8086680761099366,0.9471458773784355,0.13847780126849885,-0.13847780126849885
intertemporal choice,route learning,intertemporal choice <-> route learning,0.6004857755528152,0.2393267114519263,0.5602536997885835,0.6976744186046512,0.13742071881606766,-0.13742071881606766
category learning task,recent probes task,category learning task <-> recent probes task,0.5823599713282552,0.22523356642542414,0.4915433403805497,0.6268498942917548,0.13530655391120505,-0.13530655391120505
Two-Step Task (Daw),digit span,Two-Step Task (Daw) <-> digit span,0.5985162983747044,0.23763943598153392,0.5539112050739958,0.6881606765327696,0.13424947145877375,-0.13424947145877375
Four-Armed Bandit,associative recognition,Four-Armed Bandit <-> associative recognition,0.6850057149250495,0.45142487887474014,0.8097251585623678,0.9429175475687104,0.13319238900634256,-0.13319238900634256
Balloon Analogue Risk Task (BART),Contextual Bandit,Balloon Analogue Risk T... <-> Contextual Bandit,0.5807329539679965,0.2228011802119304,0.4788583509513742,0.6109936575052854,0.13213530655391126,-0.13213530655391126
Multi-Step Sequential RL (3+ states),exp7,Multi-Step Sequential R... <-> exp7,0.46273752429749315,0.16215840730278086,0.13530655391120508,0.26744186046511625,0.13213530655391117,-0.13213530655391117
Multi-Step Sequential RL (3+ states),route learning,Multi-Step Sequential R... <-> route learning,0.4769842554566066,0.16629586983187716,0.15644820295983086,0.28752642706131076,0.1310782241014799,-0.1310782241014799
Route Learning / Decision-Point Navigation,contextual bandit task,Route Learning / Decisi... <-> contextual bandit task,0.49870036672012297,0.17256978072701123,0.19767441860465115,0.32558139534883723,0.12790697674418608,-0.12790697674418608
Two-Step Task (Daw),Verbal Digit/Letter WM,Two-Step Task (Daw) <-> Verbal Digit/Letter WM,0.61431340407152,0.247483359984507,0.5983086680761099,0.726215644820296,0.12790697674418605,-0.12790697674418605
